AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
AF2K,1,K,13,11,E,1420,1,99,GS-11,F,XXXX,8,10,F,1,202106,1,68960,12.6,AF2K,1,K,13,11,E,1420,1,99,GS-11,G,XXXX,8,10,F,1,202109,1,77582,12.9,1
AF2K,1,G,13,11,E,1420,1,99,GS-11,G,XXXX,8,10,F,1,202106,1,71116,12.6,AF2K,1,G,13,11,E,1420,1,99,GS-11,G,XXXX,8,10,F,1,202109,1,77582,12.9,1
AF2K,1,K,21,11,J,1420,1,99,GS-11,H,XXXX,8,10,F,1,202106,1,84049,47,AF2K,1,K,21,11,J,1420,1,99,GS-11,H,XXXX,8,10,F,1,202109,1,84049,47.3,0
AF2K,1,K,13,11,G,1420,1,99,GS-11,G,XXXX,8,10,F,1,202106,1,77582,22,AF2K,1,K,13,11,G,1420,1,99,GS-11,G,XXXX,8,10,F,1,202109,1,77582,22.3,0
AF2S,8,J,17,14,F,301,2,99,GS-14,N,XXXX,4,10,F,1,202106,1,143782,16.5,AF2S,8,J,17,14,F,301,2,99,GS-14,N,XXXX,4,10,F,1,202109,1,143782,16.8,0
AF2S,8,I,13,13,F,301,2,99,GS-13,L,XXXX,8,10,F,1,202106,1,121677,17.4,AF2S,8,I,13,13,F,301,2,99,GS-13,L,XXXX,8,10,F,1,202109,1,121677,17.7,0
AF2S,8,H,17,13,E,301,2,99,GS-13,L,XXXX,8,10,F,1,202106,1,121677,12,AF2S,8,H,17,13,E,301,2,99,GS-13,L,XXXX,8,10,F,1,202109,1,121677,12.3,0
AF2S,8,H,17,12,E,301,2,99,GS-12,I,XXXX,8,10,F,1,202106,1,97080,11.5,AF2S,8,H,17,12,E,301,2,99,GS-12,I,XXXX,8,10,F,1,202109,1,97080,11.8,0
AF2S,8,I,4,14,E,301,2,99,GS-14,M,XXXX,2,10,F,1,202106,1,132723,11.5,AF2S,8,I,4,14,E,301,2,99,GS-14,M,XXXX,2,10,F,1,202109,1,132723,11.8,0
AF2S,8,J,13,13,E,301,2,99,GS-13,K,XXXX,8,10,F,1,202106,1,112317,11.5,AF2S,8,J,13,13,E,301,2,99,GS-13,K,XXXX,8,10,F,1,202109,1,112317,11.8,0
AF2S,8,E,17,12,E,201,2,99,GS-12,H,XXXX,8,10,F,1,202106,1,86584,11.5,AF2S,8,E,17,12,E,201,2,99,GS-12,H,XXXX,8,10,F,1,202109,1,86584,11.8,0
AF2S,8,H,7,13,E,301,2,99,GS-13,K,XXXX,4,10,F,1,202106,1,112317,10.5,AF2S,8,H,7,13,E,301,2,99,GS-13,K,XXXX,4,10,F,1,202109,1,112317,10.8,0
AF2S,8,I,17,13,D,343,2,99,GS-13,K,XXXX,8,10,F,1,202106,1,112317,9.6,AF2S,8,I,17,14,D,343,2,99,GS-14,L,XXXX,8,10,F,1,202109,1,121663,9.9,1
AF2S,8,I,17,15,D,501,2,99,GS-15,O,XXXX,2,10,F,1,202106,1,156120,9,AF2S,8,I,17,15,D,501,2,99,GS-15,O,XXXX,2,10,F,1,202109,1,156120,9.3,0
AF2S,8,H,17,13,D,343,2,99,GS-13,J,XXXX,8,10,F,1,202106,1,102957,6.5,AF2S,8,H,17,13,D,343,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,102957,6.8,0
AF2S,8,I,17,14,D,854,1,99,GS-14,L,854,8,10,F,1,202106,1,125350,6.3,AF2S,8,I,17,14,D,854,1,99,GS-14,L,854,8,10,F,1,202109,1,125350,6.6,0
AF2S,8,H,17,13,D,301,2,99,GS-13,I,XXXX,8,10,F,1,202106,1,96717,6,AF2S,8,H,17,13,D,301,2,99,GS-13,I,XXXX,8,10,F,1,202109,1,96717,6.3,0
AF2S,8,H,17,14,D,301,2,99,GS-14,K,XXXX,2,10,F,1,202106,1,114290,5.8,AF2S,8,H,17,14,D,301,2,99,GS-14,K,XXXX,2,10,F,1,202109,1,114290,6.1,0
AF2S,8,J,4,11,C,391,2,99,GS-11,G,XXXX,8,20,F,2,202106,1,72238,4.5,AF2S,8,J,4,11,C,391,2,99,GS-11,G,XXXX,8,20,F,2,202109,1,72238,4.8,0
